,Opioid Quantity Limits,Clinical Edits in Claim System,Opioid Step Therapy Requirements,Other Prior Authorization Requirements for Opioids,Required Use of Prescription Drug Monitoring Programs,Any Opioid Management Strategies In Place
Alabama,Yes,Yes,Yes,Yes,No,Yes
Colorado,Yes,Yes,Yes,Yes,No,Yes
District of Columbia,Yes,Yes,Yes,No,No,Yes
Georgia,Yes,Yes,Yes,No,No,Yes
Hawaii,Yes,No,No,No,No,Yes
Idaho,Yes,Yes,Yes,Yes,No,Yes
Indiana,Yes,Yes,Yes,Yes,No,Yes
Kansas,No,Yes,No,No,No,Yes
Minnesota,Yes,Yes,Yes,Yes,No,Yes
Mississippi,Yes,Yes,Yes,Yes,No,Yes
Missouri,Yes,Yes,Yes,No,No,Yes
Montana,Yes,Yes,Yes,Yes,No,Yes
Nebraska,Yes,Yes,Yes,Yes,No,Yes
New Jersey,Yes,Yes,No,Yes,No,Yes
South Dakota,Yes,Yes,Yes,Yes,No,Yes
Texas,Yes,Yes,Yes,Yes,No,Yes
Utah,Yes,Yes,Yes,Yes,No,Yes
Washington,Yes,Yes,No,Yes,No,Yes
Wyoming,Yes,Yes,Yes,Yes,No,Yes
Alaska,Yes,Yes,Yes,Yes,Yes,Yes
Arizona,Yes,Yes,Yes,Yes,Yes,Yes
Arkansas,Yes,Yes,Yes,Yes,Yes,Yes
California,Yes,No,No,Yes,Yes,Yes
Connecticut,Yes,Yes,No,Yes,Yes,Yes
Delaware,Yes,Yes,Yes,Yes,Yes,Yes
Florida,Yes,Yes,Yes,Yes,Yes,Yes
Illinois,Yes,Yes,No,Yes,Yes,Yes
Iowa,Yes,Yes,Yes,Yes,Yes,Yes
Kentucky,Yes,Yes,Yes,Yes,Yes,Yes
Louisiana,Yes,Yes,Yes,Yes,Yes,Yes
Maine,Yes,Yes,Yes,Yes,Yes,Yes
Maryland,Yes,Yes,No,Yes,Yes,Yes
Massachusetts,Yes,Yes,Yes,Yes,Yes,Yes
Michigan,Yes,Yes,Yes,Yes,Yes,Yes
Nevada,Yes,Yes,No,Yes,Yes,Yes
New Hampshire,Yes,Yes,Yes,Yes,Yes,Yes
New Mexico,Yes,No,No,No,Yes,Yes
New York,Yes,Yes,Yes,Yes,Yes,Yes
North Carolina,Yes,Yes,Yes,Yes,Yes,Yes
North Dakota,Yes,Yes,Yes,Yes,Yes,Yes
Ohio,Yes,Yes,Yes,Yes,Yes,Yes
Oklahoma,Yes,Yes,Yes,Yes,Yes,Yes
Oregon,Yes,Yes,Yes,No,Yes,Yes
Pennsylvania,Yes,Yes,No,Yes,Yes,Yes
Rhode Island,Yes,Yes,Yes,Yes,Yes,Yes
South Carolina,Yes,Yes,Yes,Yes,Yes,Yes
Tennessee,Yes,Yes,Yes,Yes,Yes,Yes
Vermont,Yes,Yes,Yes,Yes,Yes,Yes
Virginia,Yes,Yes,Yes,Yes,Yes,Yes
West Virginia,Yes,Yes,Yes,Yes,Yes,Yes
Wisconsin,Yes,Yes,No,Yes,Yes,Yes
